text,lemmas,ngrams,named_ents,sentiment
"Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ' Citi is extremely pleased to be providing global custody services to Pohjola Group Bank .","['head', 'say', 'extremely', 'pleased', 'provide', 'global', 'custody', 'service']","['global_custody', 'global_custody_service']",['Dirk_Jones/PERSON'],positive
At the same time I am delighted by the fact that we were able to accomplish the organization with our own team members .,"['time', 'delighted', 'fact', 'able', 'accomplish', 'organization', 'team', 'member']","['same_time', 'own_team', 'own_team_member']",[],positive
Through this transaction we are able to participate in developing the industry .,"['transaction', 'able', 'participate', 'develop', 'industry']",[],[],positive
The policy was also aimed at making the companies more profitable and competitive .,"['policy', 'aim', 'make', 'company', 'profitable', 'competitive']",[],[],positive
They are also upset that some of the machinery and work is taken over to Poland .,"['upset', 'machinery', 'work', 'take']",[],['Poland/GPE'],negative
"The company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to Central Europe for several decades .","['company', 'celebrate', 'fiftieth', 'anniversary', 'year', 'export', 'distinctive', 'detached', 'home', 'decade']","['fiftieth_anniversary', 'next_year', 'detached_home', 'several_decade']",[],positive
Most of the layoffs will be in Finland .,['layoff'],[],['Finland/GPE'],negative
"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .","['market', 'share', 'lending', 'quarter']",['first_quarter'],[],negative
These companies will be able to keep their market positions .,"['company', 'able', 'market', 'position']",[],[],positive
The company 's advantage in pricing can be seen in the significantly lower prices offered by the new unmanned stations .,"['company', 'advantage', 'pricing', 'see', 'significantly', 'low', 'price', 'offer', 'new', 'unmanned', 'station']","['low_price', 'unmanned_station']",[],positive
"Paper stocks were among the biggest fallers , with Stora Enso down 2.30 pct to 14.01 eur , M-real down 2.86 pct to 5.09 eur and UPM-Kymmene 1.14 pct lower at 19.10 eur .","['paper', 'stock', 'big', 'faller', 'pct', 'eur', 'real', 'pct', 'eur', 'pct', 'low', 'eur']",['big_faller'],['Stora_Enso/PERSON'],negative
Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,"['revenue', 'quarter', 'fall', 'percent', 'compare', 'year', 'early']",[],[],negative
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .","['market', 'big', 'faller', 'pct', 'low', 'eur', 'pct', 'high', 'pct', '11,687.32']",['big_faller'],[],negative
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .","['base', 'quarter', 'result', 'exist', 'order', 'backlog', 'new', 'order', 'prospect', 'company', 'expect', 'year', 'sale', 'contract', 'gross', 'margin', 'stay', 'healthy', 'level', 'operating', 'profit', 'margin', 'low', 'low', 'sale', 'volume']","['first_quarter', 'first_quarter_result', 'exist_order', 'exist_order_backlog', 'new_order', 'new_order_prospect', 'gross_margin', 'healthy_level', 'low_sale', 'low_sale_volume']",[],negative
The offer represents a premium of 24 % over the stock 's closing price on Friday .,"['offer', 'represent', 'premium', 'stock', 'closing', 'price']",[],[],positive
The recent troubles simply make NETeller cheaper .,"['recent', 'trouble', 'simply', 'neteller', 'cheap']","['recent_trouble', 'make_neteller']",[],negative
"The buyer aims to thus reinforce its position in Denmark , Martela Group managing director Heikki Martela said .","['buyer', 'aim', 'reinforce', 'position', 'managing', 'director', 'say']",[],"['Denmark/GPE', 'Heikki_Martela/PERSON']",positive
"Furthermore , our fully electrically driven cranes are environmentally friendly .","['furthermore', 'fully', 'electrically', 'drive', 'crane', 'environmentally', 'friendly']",['drive_crane'],[],positive
Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,"['operate', 'profit', 'increase', 'corresponding', 'period']","['operate_profit', 'corresponding_period']",[],positive
The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,"['bank', 'forecast', 'gdp', 'grow']",[],['Finland/GPE'],positive
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .","['passenger', 'load', 'factor', 'measure', 'number', 'sell', 'seat', 'share', 'available', 'seat', 'drop', 'percentage', 'point']","['sell_seat', 'available_seat']",[],negative
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,"['operate', 'profit', 'rise']",['operate_profit'],[],positive
"We can choose the most efficient , best overall value option for our customers already at the bidding stage .","['choose', 'efficient', 'good', 'overall', 'value', 'option', 'customer', 'bidding', 'stage']","['overall_value', 'overall_value_option']",[],positive
"The workforce will be reduced also in the Amsterdam office , in the Netherlands .","['workforce', 'reduce', 'office']",[],"['Amsterdam/GPE', 'Netherlands/GPE']",negative
'' I am extremely delighted with this project and the continuation of cooperation with Viking Line .,"['extremely', 'delighted', 'project', 'continuation', 'cooperation']",[],[],positive
"Of the sales price , a sales gain of some 3.1 mln euro ( $ 4.5 mln ) will be recognized in Incap 's earnings for 2007 .","['sale', 'price', 'sale', 'gain', 'mln', 'euro', 'mln', 'recognize', 'earning']",[],[],positive
Viking Line manages well with its current ferries .,"['manage', 'current', 'ferry']",['current_ferry'],[],positive
"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent .","['accord', 'food', 'marketing', 'reactive', 'inconsistent']",[],"['Laavainen/PERSON', 'Raisio/PERSON']",negative
"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 .","['earning', 'share', 'quarter', 'amount']",['first_quarter'],[],positive
CDLI highlights the companies that provided the most comprehensive response to the Carbon Disclosure Project CDP information request .,"['highlight', 'company', 'provide', 'comprehensive', 'response', 'information', 'request']",['comprehensive_response'],[],positive
"'' The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .","['implementation', 'program', 'negative', 'impact', 'earning', 'say']",['negative_impact'],['Meiklejohn/PERSON'],negative
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","['world', 'second', 'large', 'stainless', 'steel', 'maker', 'say', 'net', 'profit', 'month', 'period', 'surge', 'euro3', 'share', 'euro0', '.94', 'share', 'previous', 'year']","['stainless_steel', 'stainless_steel_maker', 'net_profit', 'previous_year']",[],positive
Uponor improved its performance in spite of the decrease in residential construction in the US .,"['improve', 'performance', 'spite', 'decrease', 'residential', 'construction']",['residential_construction'],['US/GPE'],positive
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .","['stock', 'exchange', 'release', 'sign', 'large', 'deal', 'international', 'industrial', 'group', 'deliver', 'solution', 'international', 'industrial', 'group']","['large_deal', 'industrial_group', 'industrial_group']",[],positive
"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .","['pretax', 'profit', 'rise', 'corresponding', 'period']","['pretax_profit', 'corresponding_period']",[],positive
"In addition to fireplace exports , demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .","['addition', 'fireplace', 'export', 'demand', 'line', 'stone', 'exceed', 'level', 'early', 'year', 'continue', 'clearly', 'brisk', 'remainder', 'year']","['line_stone', 'early_part']",[],positive
"Operating loss was EUR 179mn , compared to a loss of EUR 188mn in the second quarter of 2009 .","['operating', 'loss', '179mn', 'compare', 'loss', '188mn', 'second', 'quarter']",['second_quarter'],[],positive
"EUR928 ,000 in Q1 2010 6 May 2010 Finnish textile and clothing design company Marimekko Oyj ( HEL MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .","['finnish', 'textile', 'clothing', 'design', 'company', 'say', 'today', 'net', 'profit', 'rise', 'quarter', 'corresponding', 'period', 'year', 'early']","['finnish_textile', 'say_today', 'net_profit', 'first_quarter', 'corresponding_period']",['EUR928/GPE'],positive
Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America .,"['finnish', 'forest', 'machinery', 'manufacturer', 'agree', 'start', 'cooperation']","['finnish_forest', 'finnish_forest_machinery', 'finnish_forest_machinery_manufacturer']",[],positive
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .","['second', 'quarter', 'group', 'pretax', 'loss', 'narrow']","['second_quarter', 'pretax_loss']",[],positive
"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said .","['cost', 'saving', 'rise', 'mln', 'eur', 'year', 'say']",[],[],positive
"Operating profit for the six-month period decreased from EUR21m , while net sales increased from EUR436 .9 m , as compared to the corresponding period in 2007 .","['operate', 'profit', 'month', 'period', 'decrease', 'm', 'net', 'sale', 'increase', 'm', 'compare', 'corresponding', 'period']","['operate_profit', 'net_sale', 'corresponding_period']",[],negative
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .","['strong', 'growth', 'see', 'new', 'market']","['strong_growth', 'new_market']","['Russia/GPE', 'Czech_Republic/GPE', 'Slovakia/GPE']",positive
"In banking , Sampo A was unchanged at 14.24 eur and Nordea rose 0.42 pct to 9.51 eur .","['banking', 'unchanged', 'eur', 'rise', 'pct', 'eur']",[],['Sampo/PERSON'],positive
"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .","['plan', 'facility', 'estimate', 'cost', 'large', 'biodiesel', 'plant', 'world', 'use', 'palm', 'oil', 'certify']","['plan_facility', 'large_biodiesel', 'large_biodiesel_plant', 'use_palm', 'use_palm_oil']",[],positive
The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 .,"['aim', 'annual', 'improvement', 'operating', 'profit', 'start']",['annual_improvement'],[],positive
"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''","['thanksto', 'improvement', 'demand', 'adjustment', 'theutilization', 'rate', 'fleet', 'substantiallyimprove']",[],['Cramo/FAC'],positive
"Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) .","['finnish', 'silicon', 'wafer', 'manufacturer', 'say', 'sign', 'agreement', 'local', 'subsidiary', 'swedish', 'commercial', 'bank', 'refinance', 'syndicate', 'bank', 'facility', 'amount', 'mln', 'euro', 'mln']","['finnish_silicon', 'finnish_silicon_wafer', 'finnish_silicon_wafer_manufacturer', 'local_subsidiary', 'commercial_bank', 'syndicate_bank', 'syndicate_bank_facility']",[],positive
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .","['follow', 'transaction', 'worldwide', 'right', 'nalmefene', 'exclude']",['worldwide_right'],"['Lundbeck/PERSON', 'Mexico/GPE', 'Turkey/GPE', 'South_-_Korea/GPE']",positive
"in Q1 '10 19 April 2010 Finnish forest machinery and equipment maker Ponsse Oyj HEL PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","['finnish', 'forest', 'machinery', 'equipment', 'maker', 'say', 'today', 'expect', 'swing', 'net', 'profit', 'm', 'quarter', 'loss', 'year', 'early']","['finnish_forest', 'finnish_forest_machinery', 'say_today', 'net_profit', 'first_quarter']",[],positive
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .","['kaupunkin', 'base', 'company', 'award', 'contract', 'electrical', 'installation', 'work']","['base_company', 'award_contract', 'electrical_installation', 'electrical_installation_work']","['Turun_kaupunkin/PERSON', 'Finland/GPE']",positive
"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .","['finnish', 'construction', 'company', 'say', 'win', 'mln', 'euro', 'mln', 'contract', 'construct', 'new', 'office', 'building', 'local', 'property', 'company']","['finnish_construction', 'finnish_construction_company', 'new_office', 'new_office_building', 'local_property', 'local_property_company']",[],positive
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .","['operate', 'profit', 'month', 'period', 'increase', 'm', 'net', 'sale', 'increase', 'm', 'compare', 'corresponding', 'period']","['operate_profit', 'net_sale', 'corresponding_period']",[],positive
"3 February 2011 Finnish broadband data communication systems provider Teleste Oyj HEL TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .","['finnish', 'broadband', 'datum', 'communication', 'system', 'provider', 'say', 'yesterday', 'net', 'profit', 'rocket', 'm', 'lift', 'dividend', 'proposal']","['finnish_broadband', 'finnish_broadband_datum', 'finnish_broadband_datum_communication', 'finnish_broadband_datum_communication_system', 'finnish_broadband_datum_communication_system_provider', 'say_yesterday', 'net_profit']",['Teleste_Oyj_HEL_TLT1V/PERSON'],positive
"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) .","['unveil', 'indian', 'finnish', 'chemical', 'group', 'announce', 'ink', 'deal', 'form', 'joint', 'venture', 'local', 'construction', 'firm']","['finnish_chemical', 'finnish_chemical_group', 'joint_venture', 'local_construction', 'local_construction_firm']",['India/GPE'],positive
'' Our design team has long admired Marimekko 's vivid patterns and colors .,"['design', 'team', 'long', 'admire', 'vivid', 'pattern', 'color']",['vivid_pattern'],['Marimekko/PERSON'],positive
"Lithuanian beer makers sold 256.88 million liters of beer in 2005 , a rise of 4.5 per cent from the year-earlier figure of 245.92 million liters .","['lithuanian', 'beer', 'maker', 'sell', 'liter', 'beer', 'rise', 'cent', 'year', 'early', 'figure', 'liter']","['lithuanian_beer', 'lithuanian_beer_maker', 'early_figure']",[],positive
"The offer , deemed too low by Finnlines ' board , stands until 4 pm tomorrow .","['offer', 'deem', 'low', 'board', 'stand', 'pm', 'tomorrow']",[],[],negative
The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .,"['award', 'mexican', 'partner', 'consulting', 'contract', 'connection', 'suburban', 'railway']","['mexican_partner', 'suburban_railway']",['Poyry/PERSON'],positive
"The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .","['growth', 'activeness', 'customer', 'start', 'end', 'continue', 'reporting', 'period', 'company', 'state']",[],['Talentum/GPE'],positive
"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .","['evident', 'liquid', 'handling', 'business', 'particularly', 'area', 'primarily']",[],[],positive
"As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis .","['result', 'distribution', 'company', 'start', 'distribute', 'addition', 'current', 'product', 'offering', 'reel', 'rod', 'fishing', 'tackle', 'product', 'exclusive', 'basis']","['current_product', 'current_product_offering', 'exclusive_basis']",[],positive
Strong growth has continued also in China .,"['strong', 'growth', 'continue']",['strong_growth'],['China/GPE'],positive
Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .,"['describe', 'russian', 'tariff', 'hike', 'threat', 'future', 'forest', 'product', 'industry']","['russian_tariff', 'russian_tariff_hike']","['Jouko_Karvinen/PERSON', 'Finland/GPE']",negative
"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .","['base', 'strong', 'customer', 'interest', 'feedback', 'rpm', 'mobile', 'phone', 'manufacturer', 'operator', 'enterprise', 'developer', 'forum', 'significantly', 'increase', 'product', 'service', 'quality', 'user', 'experience', 'cost', 'efficiency', 'continue']","['strong_customer', 'strong_customer_interest', 'use_rpm', 'mobile_phone', 'mobile_phone_manufacturer']",[],positive
"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .","['finnish', 'financial', 'software', 'solution', 'developer', 'say', 'net', 'profit', 'fall', 'euro', 'mln', 'quarter', 'mln', 'euro', 'mln', 'year', 'early']","['financial_software', 'financial_software_solution', 'financial_software_solution_developer', 'net_profit', 'first_quarter']",[],negative
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .","['net', 'sale', 'financial', 'year', 'expect', 'm', 'operating', 'result', 'expect', 'loss', 'announce']","['net_sale', 'financial_year']",[],negative
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,"['diluted', 'earning', 'share', 'rise']",['diluted_earning'],[],positive
"In Q1 of 2010 , Bank of +_land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .","['+', 'land', 'net', 'interest', 'income', 'increase']","['net_interest', 'net_interest_income']",[],positive
"'' We have tailored our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''","['tailor', 'solution', 'meet', 'technical', 'requirement', 'result', 'cost', 'effective', 'manufacturing', 'high', 'quality', 'reflector']","['technical_requirement', 'effective_manufacturing']",[],positive
"( ADP News ) Oct 29 , 2008 Finnish lifting equipment maker Konecranes Oyj ( OMX KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s","['finnish', 'lifting', 'equipment', 'maker', 'say', 'today', 'net', 'profit', 'rise', 'usd', 'm', 'month', 's']","['finnish_lifting', 'finnish_lifting_equipment', 'finnish_lifting_equipment_maker', 'say_today', 'net_profit']",['Konecranes_Oyj/PRODUCT'],positive
The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance .,"['acquisition', 'bring', 'significant', 'positive', 'non', 'recurring', 'addition', 'group', 'performance']",['recurring_addition'],[],positive
"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .","['cash', 'flow', 'operation', 'total', 'compare', 'negative', 'corresponding', 'period']",['corresponding_period'],[],positive
They will cover all Forest Industry 's units and employees in Finland and concern temporary and permanent lay-offs .,"['cover', 'unit', 'employee', 'concern', 'temporary', 'permanent', 'lay', 'off']",['permanent_lay'],['Finland/GPE'],negative
"Under the terms of the off-take agreement with Talvivaara , Cameco will provide an up-front investment , to a maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit .","['term', 'agreement', 'provide', 'investment', 'maximum', 'cover', 'construction', 'cost', 'uranium', 'extraction', 'circuit']",[],"['Talvivaara/PERSON', 'Cameco/PERSON']",positive
"Finnish IT consultancy Satama Interactive Oyj posted a net profit of 1.4 mln euro $ 2.0 mln for the first nine months of 2007 , compared to a net loss of 462,000 euro $ 664,000 for the same period of 2006 .","['finnish', 'consultancy', 'post', 'net', 'profit', 'mln', 'euro', 'mln', 'month', 'compare', 'net', 'loss', 'euro', 'period']","['net_profit', 'net_loss', 'same_period']",[],positive
A total of 140 jobs will be reduced at the Raahe Steel Works .,"['total', 'job', 'reduce']",[],[],negative
"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .","['second', 'quarter', 'net', 'loss', 'narrow', 'period']","['second_quarter', 'net_loss', 'same_period']",['Raute/PERSON'],positive
"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .","['takeover', 'expand', 'business', 'area', 'specialise', 'digital', 'printing', 'previously', 'consist', 'subsidiary']",['digital_printing'],[],positive
Sanoma News ' advertising sales decreased by 22 % during the year .,"['advertising', 'sale', 'decrease', 'year']",[],[],negative
The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,"['stock', 'rise', 'second', 'day', 'bring', 'day', 'rise']",['second_day'],[],positive
Swiss franc surged to record 1.42 euros after it reported sharpest gain in manufacturing in March .,"['swiss', 'franc', 'surge', 'record', 'euro', 'report', 'sharp', 'gain', 'manufacturing']","['swiss_franc', 'sharp_gain']",[],positive
"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .","['fourth', 'quarter', 'net', 'profit', 'go', 'year', 'year', 'm']","['fourth_quarter', 'net_profit']",[],positive
"The respondents praised Finnair 's reliability , Finnishness , and understanding of its target group .","['respondent', 'praise', 'reliability', 'understanding', 'target', 'group']",[],[],positive
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,"['earning', 'share', 'amount', 'loss']",[],[],negative
"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic .","['estonian', 'electronic', 'component', 'factory', 'run', 'material', 'closure', 'air', 'traffic']","['electronic_component', 'electronic_component_factory']",[],negative
The company will also be compensated for acting as a reserve batch plant .,"['company', 'compensate', 'act', 'reserve', 'batch', 'plant']",[],[],positive
"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands .","['furthermore', 'sign', 'licensing', 'agreement', 'brand']",[],['Sunnuntai/PERSON'],positive
"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless .","['restructuring', 'create', 'efficient', 'organization', 'increase', 'operational', 'focus', 'stable', 'profitability', 'lead', 'efficient', 'production', 'say', 'head']","['efficient_organization', 'operational_focus', 'stable_profitability', 'efficient_production']",['Bo_Annvik/PERSON'],positive
Finnish media group Talentum has issued a profit warning .,"['finnish', 'medium', 'group', 'issue', 'profit', 'warning']","['finnish_medium', 'finnish_medium_group']",['Talentum/GPE'],negative
"Finnish forest machinery and equipment maker Ponsse Oyj said on October 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors .","['finnish', 'forest', 'machinery', 'equipment', 'maker', 'say', 'deliver', 'total', 'cut', 'length', 'method', 'forest', 'machine', 'harvester', 'head', 'brazilian', 'paper', 'maker', 'unnamed', 'uruguayan', 'wood', 'harvesting', 'contractor']","['finnish_forest', 'finnish_forest_machinery', 'brazilian_paper', 'brazilian_paper_maker', 'uruguayan_wood', 'uruguayan_wood_harvesting', 'uruguayan_wood_harvesting_contractor']",[],positive
Small investors have voiced fears that the shares will end up with risk investors .,"['small', 'investor', 'voice', 'fear', 'share', 'end', 'risk', 'investor']","['small_investor', 'voice_fear']",[],negative
The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations .,"['company', 'feature', 'include', 'list', 'world', 'sustainable', 'corporation']",['sustainable_corporation'],[],positive
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .","['pretax', 'loss', 'total', 'compare', 'loss', 'corresponding', 'period']","['pretax_loss', 'corresponding_period']",[],negative
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,"['finnish', 'office', 'supply', 'computer', 'accessory', 'dealer', 'say', 'net', 'profit', 'rise', 'mln', 'euro', 'mln', 'mln', 'euro', 'mln']","['finnish_office', 'finnish_office_supply', 'net_profit']",[],positive
It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .,"['say', 'quarter', 'dilute', 'come', 'eur', 'compare', 'eur', 'quarter', 'year', 'ago']","['third_quarter', 'same_quarter']",[],positive
"The poorest index figure was given to Finnish power company Fortum , 4.5 .","['poor', 'index', 'figure', 'give', 'finnish', 'power', 'company']","['poor_index', 'poor_index_figure', 'finnish_power', 'finnish_power_company']",['Fortum/GPE'],negative
"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''","['employee', 'well', 'prepared', 'answer', 'call', 'detailed', 'information', 'caller', 'answer', 'phone']","['answer_call', 'detailed_information']",[],positive
"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .","['provide', 'elevator', 'escalator', 'solution', 'modernisation', 'maintenance', 'build', 'escalator', 'instal', 'high', 'speed', 'railway', 'section', 'year', 'time']",['provide_elevator'],"['China/GPE', 'Kone/PERSON', 'Beijing/GPE', 'Shanghai/GPE']",positive
Precedex is approved for IV sedation of initially intubated and mechanically ventilated patients in intensive care .,"['precedex', 'approve', 'sedation', 'initially', 'intubate', 'mechanically', 'ventilate', 'patient', 'intensive', 'care']","['ventilate_patient', 'intensive_care']",[],positive
"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .","['combine', 'exist', 'solution', 'single', 'platform', 'say', 'reduce', 'cost', 'deployment']","['exist_solution', 'single_platform']",[],positive
Finnish Ahlstrom Corporation has ordered key production equipment for a new glass nonwovens production line at its Russian Tver Mill from Finnish Vaahto Pulp Paper Machinery ( that is part of Vaahto Group ) .,"['order', 'key', 'production', 'equipment', 'new', 'glass', 'nonwoven', 'production', 'line', 'russian']","['key_production', 'key_production_equipment', 'new_glass', 'new_glass_nonwoven', 'new_glass_nonwoven_production', 'new_glass_nonwoven_production_line']",[],positive
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .","['group', 'sale', 'total', 'drop', 'period']",['same_period'],[],negative
"4 February 2011 Finnish broadband data communication systems provider Teleste Oyj HEL TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .","['finnish', 'broadband', 'datum', 'communication', 'system', 'provider', 'see', 'net', 'profit', 'jump', 'm', 'quarter', 'period']","['finnish_broadband', 'finnish_broadband_datum', 'finnish_broadband_datum_communication', 'finnish_broadband_datum_communication_system', 'finnish_broadband_datum_communication_system_provider', 'net_profit', 'net_profit_jump', 'last_quarter', 'same_period']",['Teleste_Oyj_HEL/PERSON'],positive
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .","['net', 'cash', 'flow', 'operating', 'activity', 'negative', 'compare', 'corresponding', 'period']","['net_cash', 'net_cash_flow', 'corresponding_period']",[],negative
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,"['finnish', 'launch', 'new', 'base', 'quick', 'test', 'ensure', 'safety', 'food']",['quick_test'],[],positive
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,"['stock', 'rise', 'day', 'bring', 'day', 'rise']",['third_day'],[],positive
Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,"['finnish', 'fiber', 'plastic', 'product', 'maker', 'say', 'net', 'loss', 'continue', 'operation', 'narrow', 'mln', 'euro', 'mln', 'mln', 'euro', 'mln']","['finnish_fiber', 'net_loss', 'continue_operation']",[],positive
"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer .","['company', 'expect', 'net', 'sale', 'operating', 'result', 'improve', 'previous', 'year', 'say', 'positive', 'operating', 'result', 'depend', 'order', 'intake', 'end', 'summer']","['net_sale', 'previous_year', 'positive_operating', 'positive_operating_result']",[],positive
